m,Unnamed: 1,drużyna,pkt,mecze,zw.-por.,dom,wyjazd,pkt.zd.-pkt.str.,różnica,zw./mecze
1,,Enea Abramczyk Astoria Bydgoszcz,39,21,18 - 3,8 - 2,10 - 1,1900 - 1634,266,0.8571
2,,SKS Fulimpex Starogard Gdański,38,22,16 - 6,9 - 1,7 - 5,1871 - 1745,126,0.7273
3,,Solvera Sokół Łańcut,36,22,14 - 8,9 - 2,5 - 6,1880 - 1889,-9,0.6364
4,,ŁKS Coolpack Łódź,35,20,15 - 5,8 - 2,7 - 3,1737 - 1558,179,0.75
5,,GKS Tychy,35,22,13 - 9,6 - 5,7 - 4,1800 - 1817,-17,0.5909
6,,Decka Pelplin,35,22,13 - 9,10 - 2,3 - 7,1893 - 1822,71,0.5909
7,,WKK Active Hotel Wrocław,33,22,11 - 11,4 - 7,7 - 4,1784 - 1799,-15,0.5
8,,Enea Basket Poznań,33,22,11 - 11,7 - 4,4 - 7,1765 - 1744,21,0.5
9,,PGE Spójnia Stargard,33,21,12 - 9,8 - 3,4 - 6,1718 - 1703,15,0.5714
10,,Novimex Polonia 1912 Leszno,32,22,10 - 12,7 - 5,3 - 7,1728 - 1816,-88,0.4545
11,,OPTeam Energia Polska Resovia,31,22,9 - 13,7 - 3,2 - 10,1813 - 1846,-33,0.4091
12,,KKS Polonia Warszawa,31,21,10 - 11,5 - 5,5 - 6,1692 - 1764,-72,0.4762
13,,Kotwica Port Morski Kołobrzeg,29,20,9 - 11,5 - 6,4 - 5,1591 - 1538,53,0.45
14,,KSK Qemetica Noteć Inowrocław,29,22,7 - 15,4 - 8,3 - 7,1771 - 1868,-97,0.3182
15,,Weegree AZS Politechnika Opolska,28,21,7 - 14,5 - 5,2 - 9,1699 - 1748,-49,0.3333
16,,Miners Katowice,27,22,5 - 17,2 - 9,3 - 8,1767 - 1896,-129,0.2273
17,,Żubry Abakus Okna Białystok,22,20,2 - 18,1 - 8,1 - 10,1536 - 1758,-222,0.1
